fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,u_x,u_z
1,New file 1,,,,,,,,,,,,598,83.4738095571501,,
1,New file 1,,,,,,,,,,,,600,83.4738095571501,,
1,New file 1,,,,,,,,,,,,602,75.1624859266545,,
1,New file 1,,,,,,,,,,,,604,75.1624859266545,,
1,New file 1,,,,,,,,,,,,606,75.1624859266545,,
1,New file 1,,,,,,,,,,,,608,75.1624859266545,,
1,New file 1,,,,,,,,,,,,610,75.1624859266545,,
1,New file 1,,,,,,,,,,,,612,75.1624859266545,,
1,New file 1,,,,,,,,,,,,614,75.1624859266545,,
1,New file 1,,,,,,,,,,,,616,88.3098593076812,,
1,New file 1,,,,,,,,,,,,618,88.3098593076812,,
1,New file 1,,,,,,,,,,,,620,88.3098593076812,,
1,New file 1,,,,,,,,,,,,622,124.752617274714,,
1,New file 1,,,,,,,,,,,,624,189.792493018444,,
1,New file 1,,,,,,,,,,,,626,228.287391588583,,
1,New file 1,,,,,,,,,,,,628,228.287391588583,,
1,New file 1,,,,,,,,,,,,630,238.770045417898,,
1,New file 1,,,,,,,,,,,,632,238.770045417898,,
1,New file 1,,,,,,,,,,,,634,238.770045417898,,
1,New file 1,,,,,,,,,,,,636,238.770045417898,,
1,New file 1,,,,,,,,,,,,638,228.942378493811,,
1,New file 1,,,,,,,,,,,,640,228.942378493811,,
1,New file 1,,,,,,,,,,,,642,219.35250381651,,
1,New file 1,,,,,,,,,,,,644,219.35250381651,,
1,New file 1,,,,,,,,,,,,646,219.35250381651,,
1,New file 1,,,,,,,,,,,,648,224.42988984053,,
1,New file 1,,,,,,,,,,,,650,224.42988984053,,
1,New file 1,,,,,,,,,,,,652,224.42988984053,,
1,New file 1,,,,,,,,,,,,654,224.42988984053,,
1,New file 1,,,,,,,,,,,,656,224.42988984053,,
1,New file 1,,,,,,,,,,,,658,224.42988984053,,
1,New file 1,,,,,,,,,,,,660,224.42988984053,,
1,New file 1,,,,,,,,,,,,662,224.42988984053,,
1,New file 1,,,,,,,,,,,,664,224.42988984053,,
1,New file 1,,,,,,,,,,,,666,240.159730613978,,
1,New file 1,,,,,,,,,,,,668,240.159730613978,,
1,New file 1,,,,,,,,,,,,670,240.159730613978,,
1,New file 1,,,,,,,,,,,,672,219.938703938929,,
1,New file 1,,,,,,,,,,,,674,219.938703938929,,
