fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,x,y,u_x,u_z
1,New file 1,,,,,,,,,,,,174,238.216636141553,672314.2024602297,5268044.4386982536,2697.20246022975,492.561301746406
1,New file 1,,,,,,,,,,,,176,238.216636141553,672312.5023689066,5268043.3852802487,2695.50236890651,493.614719751291
1,New file 1,,,,,,,,,,,,178,238.216636141553,672310.8022775834,5268042.3318622438,2693.80227758328,494.668137756176
1,New file 1,,,,,,,,,,,,180,218.595115522053,672309.2244120430,5268041.1407495877,2692.224412043,495.859250412323
1,New file 1,,,,,,,,,,,,182,218.595115522053,672307.9767861038,5268039.5776022766,2690.97678610368,497.422397723421
1,New file 1,,,,,,,,,,,,184,218.595115522053,672306.7291601644,5268038.0144549655,2689.72916016437,498.98554503452
1,New file 1,,,,,,,,,,,,186,218.595115522053,672305.4815342252,5268036.4513076544,2688.48153422505,500.548692345619
1,New file 1,,,,,,,,,,,,188,218.595115522053,672304.2339082859,5268034.8881603433,2687.23390828574,502.111839656718
1,New file 1,,,,,,,,,,,,190,218.595115522053,672302.9862823467,5268033.3250130331,2685.98628234654,503.674986966886
1,New file 1,,,,,,,,,,,,192,218.595115522053,672301.7386564072,5268031.7618657220,2684.73865640722,505.238134277984
1,New file 1,,,,,,,,,,,,194,218.595115522053,672300.4910304680,5268030.1987184109,2683.49103046791,506.801281589083
1,New file 1,,,,,,,,,,,,196,218.595115522053,672299.2434045286,5268028.6355710998,2682.24340452859,508.364428900182
1,New file 1,,,,,,,,,,,,198,218.595115522053,672297.9957785894,5268027.0724237887,2680.99577858928,509.927576211281
1,New file 1,,,,,,,,,,,,200,225.125599763484,672296.7242131182,5268025.5307263117,2679.72421311808,511.469273688272
1,New file 1,,,,,,,,,,,,202,225.125599763484,672295.3069028170,5268024.1196162840,2678.30690281698,512.880383715965
1,New file 1,,,,,,,,,,,,204,225.125599763484,672293.8895925160,5268022.7085062563,2676.88959251589,514.291493743658
1,New file 1,,,,,,,,,,,,206,225.125599763484,672292.4722822150,5268021.2973962286,2675.47228221491,515.702603771351
1,New file 1,,,,,,,,,,,,208,225.125599763484,672291.0549719138,5268019.8862862010,2674.05497191381,517.113713799044
1,New file 1,,,,,,,,,,,,210,225.125599763484,672289.6376616128,5268018.4751761733,2672.63766161271,518.524823826738
1,New file 1,,,,,,,,,,,,212,225.125599763484,672288.2203513116,5268017.0640661456,2671.22035131161,519.935933854431
1,New file 1,,,,,,,,,,,,214,225.125599763484,672286.8030410106,5268015.6529561179,2669.80304101051,521.347043882124
1,New file 1,,,,,,,,,,,,216,225.125599763484,672285.3857307094,5268014.2418460902,2668.38573070941,522.758153909817
1,New file 1,,,,,,,,,,,,218,225.125599763484,672283.9684204084,5268012.8307360625,2666.96842040832,524.169263937511
1,New file 1,,,,,,,,,,,,220,225.125599763484,672282.5511101072,5268011.4196260348,2665.55111010722,525.580373965204
1,New file 1,,,,,,,,,,,,222,220.156173443206,672281.1457987530,5268009.9974665968,2664.1457987529,527.002533403225
1,New file 1,,,,,,,,,,,,224,220.156173443206,672279.8560522372,5268008.4688875424,2662.85605223721,528.531112457626
1,New file 1,,,,,,,,,,,,226,220.156173443206,672278.5663057216,5268006.9403084880,2661.56630572153,530.059691512026
1,New file 1,,,,,,,,,,,,228,220.084196340142,672277.2780593398,5268005.4104653001,2660.27805933973,531.589534699917
1,New file 1,,,,,,,,,,,,230,220.084196340142,672275.9902340994,5268003.8802672243,2658.99023409944,533.119732775725
1,New file 1,,,,,,,,,,,,232,220.084196340142,672274.7024088594,5268002.3500691494,2657.70240885927,534.649930850603
1,New file 1,,,,,,,,,,,,234,220.084196340142,672273.4145836190,5268000.8198710736,2656.41458361899,536.180128926411
1,New file 1,,,,,,,,,,,,236,220.084196340142,672272.1267583788,5267999.2896729978,2655.1267583787,537.71032700222
1,New file 1,,,,,,,,,,,,238,220.084196340142,672270.8389331384,5267997.7594749220,2653.83893313841,539.240525078028
